value,valuehat
1648175.66,1698261.67
1939294.4,1951835.47
2082323.6300000001,2299080.89
2005399.55,2252662.39
2206885.66,2426579.61
2842159.31,2748636.12
2124989.62,2303789.5
2020326.11,2192532.52
2152711.89,2339990.68
2388281.75,2409921.48
2599228.92,2610255.36
2296790.47,2328902.16
2486172.3,2748636.12
2682956.5568,2303789.5
2201080.83,2192532.52
2015823.59,2339990.68
2365008.8,2514780.23
2409159.66,2464006.75
2549431.44,2426579.61
2553501.75,2748636.12
2455172.01,2303789.5
2171249.3,2192532.52
2324684.2,2339990.68
2740488.67,2514780.23
2756552.18,2738932.39
3199696.41,3125572.08
4599042.1,4445090.19
2803234.5,2738146.23
725528.32,802686.2
2648984.8,2339990.68
2740512.3,2514780.23
2883694.5,2882172.81
3158610.92,3080927.91
4182668.24,4085678.44
3459258.65,3280864.35
734325.6,817860.01
2663021.02,2390917.88
2795374.83,2569511.52
2630865.0,2517633.02
2497040.82,2479391.32
2718967.69,2808457.02
2921067.96,2353928.83
2381362.81,2240250.47
2570077.14,2390917.88
2222660.31,2569511.52
2811805.95,2517633.02
2973549.81,2479391.32
2787311.42,2808457.02
2144503.22,2353928.83
2287459.24,2240250.47
2706645.7,2390917.88
2448156.38,2569511.52
2601726.63,2517633.02
2399675.37,2479391.32
2735641.28,2808457.02
2403463.39,2353928.83
2154550.91,2240250.47
2104650.22,2390917.88
2289667.05,2569511.52
2248595.72,2517633.02
2359903.66,2479391.32
2655311.64,2808457.02
2117630.23,2353928.83
2019477.33,2240250.47
2521677.03,2390917.88
2382037.39,2569511.52
2669757.96,2344470.64
2697513.04,2308859.19
3101936.3,2615291.81
2417422.75,2192025.99
2533018.11,2086166.4
2550083.99,2226470.94
2691722.2,2392780.95
2805241.04,2344470.64
2771065.02,2308859.19
2442242.48,2615291.81
2014230.11,2192025.99
2255647.59,2086166.4
2192532.38,2226470.94
2231553.53,2392780.95
2161819.88,2344470.64
2119463.41,2308859.19
2489084.47,2615291.81
1986467.73,2192025.99
2275830.92,2086166.4
1967147.94,2226470.94
2058670.51,2392780.95
2030461.46,2344470.64
2029413.22,2308859.19
2326658.97,2615291.81
2144322.12,2192025.99
1787570.06,2086166.4
2013289.94,2226470.94
2096217.79,2392780.95
2237788.17,2306555.39
1982837.66,2271519.87
3715219.69,2572996.8
3304561.26,2156576.11
3030046.35,2052428.5
2807299.93,2190464.01
3710935.07,2354084.42
3617317.33,2306555.39
2905647.67,2271519.87
2303216.67,2572996.8
2158241.85,2166265.73
1985354.9,2107874.65
2115838.74,2251030.08
2021363.85,2158497.2
1963454.46,2103611.16
2004332.78,2169650.59
2206980.35,2296900.63
1880127.71,2156576.11
1794591.76,2052428.5
1812978.56,2190464.01
2116051.32,2354084.42
1957567.69,2306555.39
1922363.78,2271519.87
2232569.67,2572996.8
1741780.46,2156576.11
1665928.37,2052428.5
1845953.1,2190464.01
2271324.83,2354084.42
1904509.29,2306555.39
2071100.44,2271519.87
2595276.5,2572996.8
2230698.49,2009691.96
2268151.79,1912637.83
1995201.7,2041271.76
2142709.76,2193748.01
1928682.67,2149456.17
2121487.26,2116806.91
2463810.63,2397750.3
1885250.52,2009691.96
1912424.22,1912637.83
2204732.02,2041271.76
1972354.9,2193748.01
2177810.35,2149456.17
1859382.7,2116806.91
2308415.83,2397750.3
1759265.6300000001,2009691.96
1719267.49,1912637.83
1848897.53,2041271.76
1853100.03,2193748.01
1931705.66,2149456.17
1970503.83,2116806.91
2267649.01,2397750.3
2272300.37,2009691.96
1793482.86,1912637.83
1959184.01,2041271.76
2183329.78,2193748.01
2209277.31,2156032.75
0.0,2129780.08
0.0,2164386.49
0.0,2210126.79
0.0,2692063.65
0.0,895411.12
0.0,2540178.28
0.0,2093278.3
0.0,2067789.76
0.0,2349393.95
0.0,1975186.67
0.0,1885550.42
0.0,2018519.71
0.0,2175933.73
0.0,2138524.73
0.0,2011710.85
0.0,2278705.85
0.0,1909913.98
0.0,1817678.43
0.0,1939925.9
0.0,2084831.94
0.0,2042739.13
0.0,2011710.85
0.0,2278705.85
0.0,1909913.98
0.0,1817678.43
0.0,1939925.9
0.0,2084831.94
0.0,2042739.13
0.0,2011710.85
0.0,2278705.85
