10089|BOTELLA SORBITO 385ML KOALA SKIP HOP|3|N|07|BAZAR|0708|PUERICULTURA|070803|PEQUEÑA PUERICULTURA|07080302|ACCESORIOS DE ALIMENTACIÓN BEBE|
1008|DELICE SALSA CHAMPI 250 GR.|11|F|05|FRESCOS|0508|QUESOS|050805|QUESOS UNTABLES|05080502|SABORIZADOS|
100906|AGUARRAS MINERAL 950CC. HUMMER|2|N|10|FERRETERIA|1009|PINTURERIA|100901|ACCESORIOS PINTURERIA|10090116|DISOLVENTES|
10090|BOTELLA SORBITO 385ML ABEJA SKIP HOP|3|N|07|BAZAR|0708|PUERICULTURA|070803|PEQUEÑA PUERICULTURA|07080302|ACCESORIOS DE ALIMENTACIÓN BEBE|
10091|ENVASE 750ML. //970ML. CELTA // V.MARIA|23|I|01|ALMACEN|0124|INSUMOS|012401|ENVASES|01240101|ENVASES|
10092|BOTELLA SORBITO 385ML BUHO SKIP HOP|3|N|07|BAZAR|0708|PUERICULTURA|070803|PEQUEÑA PUERICULTURA|07080302|ACCESORIOS DE ALIMENTACIÓN BEBE|
100931|GAFA TRANSPARENTE 1 PZA.|2|N|10|FERRETERIA|1009|PINTURERIA|100901|ACCESORIOS PINTURERIA|10090114|PROTECCION|
100933|VINO PUEBLO DEL SOLTANNAT (UR) 750 ml|23|F|30|BEBIDAS CON ALCOHOL|3008|VINOS|300801|VINOS NACIONALES|30080133|TINTOS TANNAT NACIONALES|
10093|BOTELLA SORBITO 385ML JIRAFA SKIP HOP|3|N|07|BAZAR|0708|PUERICULTURA|070803|PEQUEÑA PUERICULTURA|07080302|ACCESORIOS DE ALIMENTACIÓN BEBE|
100941|EDULCORANTE 100 SOBRES SUCARYL|1|F|01|ALMACEN|0104|AZUCAR Y EDULCORANTE|010402|EDULCORANTES ARTIFICIALES|01040205|EDULCORANTES ARFICIALES EN POLVO|
100942|EDULCORANTE 50 SOBRES SUCARYL|1|F|01|ALMACEN|0104|AZUCAR Y EDULCORANTE|010402|EDULCORANTES ARTIFICIALES|01040205|EDULCORANTES ARFICIALES EN POLVO|
10094|BOTELLA SORBITO 385ML ZORRO SKIP HOP|3|N|07|BAZAR|0708|PUERICULTURA|070803|PEQUEÑA PUERICULTURA|07080302|ACCESORIOS DE ALIMENTACIÓN BEBE|
100959|SH SEDAL  LISO PERFECTO 340ML|8|N|15|PERFUMERIA|1503|CUIDADO CAPILAR|150302|SHAMPOO|15030203|COSMÉTICO|
10095|BOTELLA SORBITO 385ML FLAMENCO SKIP HOP|3|N|07|BAZAR|0708|PUERICULTURA|070803|PEQUEÑA PUERICULTURA|07080302|ACCESORIOS DE ALIMENTACIÓN BEBE|
100962|CREMA P/PEINAR SEDAL LISO P 300ML|8|N|15|PERFUMERIA|1503|CUIDADO CAPILAR|150304|TRATAMIENTOS CAPILARES|15030403|CREMAS DE PEINAR|
100969|HELADO DL/GRANIZADO 2L.CRUFI|16|F|04|CONGELADOS|0402|HELADOS Y POSTRES|040205|HELADOS FAMILIARES|04020501|2L O MÁS|
100970|HELADO DL/CHOC/SAMB 2L CRUFI|16|F|04|CONGELADOS|0402|HELADOS Y POSTRES|040205|HELADOS FAMILIARES|04020501|2L O MÁS|
100971|GALLETA MARINA 380G.LA BANDERITA|1|F|01|ALMACEN|0112|PANIFICADOS|011205|GALLETAS SALADAS|01120507|GALLETAS MALTEADAS / MARINAS|
100972|GALLETA SIN SAL 380G.LA BANDERITA|1|F|01|ALMACEN|0112|PANIFICADOS|011204|GALLETAS ESPECIALES|01120403|GALLETAS SIN SAL|
10098|VIANDA C/CUBIER 325ML MARIPOSA SKIP HOP|3|N|07|BAZAR|0708|PUERICULTURA|070803|PEQUEÑA PUERICULTURA|07080302|ACCESORIOS DE ALIMENTACIÓN BEBE|
100992|GALLETA CLUB SOCIAL IND.24G.|1|F|01|ALMACEN|0112|PANIFICADOS|011205|GALLETAS SALADAS|01120501|GALLETAS CRACKERS|
10099|VIANDA P/SNACK SAN ANTONIO SKIP HOP|3|N|07|BAZAR|0708|PUERICULTURA|070803|PEQUEÑA PUERICULTURA|07080302|ACCESORIOS DE ALIMENTACIÓN BEBE|
10101|VIANDA P/SNACK UNICORNIO SKIP HOP|3|N|07|BAZAR|0708|PUERICULTURA|070803|PEQUEÑA PUERICULTURA|07080302|ACCESORIOS DE ALIMENTACIÓN BEBE|
101021|AGUA MATUTINA C/GAS 2L|23|F|02|BEBIDAS SIN ALCOHOL|0201|AGUAS|020101|AGUAS|02010101|CON GAS|
101024|AGUA MATUTINA S/GAS 2L|23|F|02|BEBIDAS SIN ALCOHOL|0201|AGUAS|020101|AGUAS|02010103|SIN GAS|
10102|VIANDA P/SNACK NARVAL SKIP HOP|3|N|07|BAZAR|0708|PUERICULTURA|070803|PEQUEÑA PUERICULTURA|07080302|ACCESORIOS DE ALIMENTACIÓN BEBE|
101033|PINCHOS PARA BROCHETTE X 6|2|N|19|TIEMPO LIBRE|1904|EXTERIOR|190404|PARRILLA|19040402|IMPLEMENTOS DE PARRILLA|
10105|VIANDA P/SNACK LLAMA SKIP HOP|3|N|07|BAZAR|0708|PUERICULTURA|070803|PEQUEÑA PUERICULTURA|07080302|ACCESORIOS DE ALIMENTACIÓN BEBE|
101060|MASA RECTANGULAR LIGHT ESPECIALISTA.|24|F|05|FRESCOS|0507|PASTAS FRESCAS|050702|MASAS|05070203|TARTA RECTANGULAR|
101062|HUEVO TOY´S CON SORPRESA|16|F|01|ALMACEN|0126|CHOCOLATES|012605|FIGURAS DE CHOCOLATE|01260502|HUEVO SORPRESA|
10106|VIANDA P/SNACK FLAMENCO SKIP HOP|3|N|07|BAZAR|0708|PUERICULTURA|070803|PEQUEÑA PUERICULTURA|07080302|ACCESORIOS DE ALIMENTACIÓN BEBE|
10108|CONTENEDOR ACERO NARVAL C/CUBIERTO|3|N|07|BAZAR|0708|PUERICULTURA|070803|PEQUEÑA PUERICULTURA|07080302|ACCESORIOS DE ALIMENTACIÓN BEBE|
10109|VIANDA P/SNACK TIBURON SKIP HOP|3|N|07|BAZAR|0708|PUERICULTURA|070803|PEQUEÑA PUERICULTURA|07080302|ACCESORIOS DE ALIMENTACIÓN BEBE|
1010|MUFFIN CHOCOLATE C/CHOCODULCE 3UNS|21|F|05|FRESCOS|0506|PANADERIA|050612|ELAB.PROPIA - CONFITERÍA|05061204|DONUTS/MUFFINS|
