SKU,Local,Forecast sumarizado
347439,00005,194.0
34808,00005,56.0
34809,00005,56.0
34810,00005,120.0
34812,00005,168.0
34813,00005,112.0
350274,00005,56.0
350713,00005,98.0
351576,00005,310.0
352018,00005,40975.0
353169,00005,1685.0
354150,00005,2003.0
354327,00005,72.0
355029,00005,112.0
355350,00005,355.0
35652,00005,103.0
357486,00005,348.0
357550,00005,56.0
35873,00005,144.0
359766,00005,121.0
360128,00005,56.0
360323,00005,134.0
360938,00005,4724.0
3610,00005,56.0
361027,00005,56.0
36124,00005,295.0
361268,00005,164.0
361957,00005,82.0
362032,00005,56.0
362129,00005,104.0
36418,00005,200.0
365658,00005,286.0
365958,00005,504.0
366927,00005,112.0
367471,00005,1115.0
367482,00005,56.0
368517,00005,529.0
368732,00005,390.0
368923,00005,56.0
369247,00005,323.0
369249,00005,325.0
369250,00005,95.0
369251,00005,104.0
36948,00005,185.0
370187,00005,241.0
370589,00005,72.0
371670,00005,348.0
371679,00005,335.0
371681,00005,720.0
371689,00005,64.0
373988,00005,117.0
373989,00005,64.0
3742,00005,72.0
375056,00005,56.0
376109,00005,56.0
376110,00005,104.0
376111,00005,82.0
37661,00005,319.0
378890,00005,230.0
379514,00005,143.0
379688,00005,56.0
379745,00005,56.0
380952,00005,172.0
380953,00005,123.0
380954,00005,206.0
380955,00005,115.0
380957,00005,109.0
383019,00005,56.0
383387,00005,238.0
383415,00005,203.0
383416,00005,617.0
383504,00005,251.0
384836,00005,81.0
384842,00005,112.0
384958,00005,179.0
385301,00005,17257.0
387628,00005,738.0
38827,00005,144.0
38828,00005,142.0
388723,00005,168.0
388724,00005,64.0
388770,00005,112.0
388771,00005,176.0
38889,00005,889.0
389772,00005,282.0
391044,00005,72.0
391517,00005,163.0
391602,00005,168.0
391603,00005,172.0
39176,00005,82.0
392418,00005,88.0
392555,00005,56.0
392613,00005,490.0
392614,00005,182.0
392615,00005,2439.0
393207,00005,56.0
394198,00005,73.0
395257,00005,4391.0
395258,00005,4190.0
395300,00005,1104.0
395636,00005,104.0
395672,00005,447.0
396569,00005,72.0
396570,00005,113.0
396583,00005,61.0
396585,00005,112.0
398380,00005,111.0
398381,00005,124.0
398514,00005,216.0
398596,00005,392.0
399331,00005,81.0
399637,00005,187.0
399638,00005,179.0
400124,00005,72.0
400125,00005,526.0
400931,00005,128.0
402587,00005,267.0
402588,00005,1796.0
402589,00005,266.0
402590,00005,263.0
402591,00005,547.0
402994,00005,56.0
405687,00005,104.0
406704,00005,104.0
406705,00005,214.0
406708,00005,112.0
406768,00005,96.0
406771,00005,128.0
406910,00005,71.0
406914,00005,307.0
407022,00005,112.0
407046,00005,72.0
407570,00005,64.0
